freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
3550000000.000000,after_h1,1.036682816001e+00,3.401018977321e-02,3.668281600129e-02,3.401018977321e-02,5.002321459
3551000000.000000,after_h1,1.037660567007e+00,3.831584188833e-02,3.766056700707e-02,3.831584188833e-02,5.372543203
3552000000.000000,after_h1,1.035299079498e+00,2.857532915916e-02,3.529907949806e-02,2.857532915916e-02,4.541557497
3553000000.000000,after_h1,1.034147834660e+00,4.046167658993e-02,3.414783466033e-02,4.046167658993e-02,5.294546142
3554000000.000000,after_h1,1.033270359207e+00,3.539825709610e-02,3.327035920718e-02,3.539825709610e-02,4.857935165
3555000000.000000,after_h1,1.031951060790e+00,3.387880549028e-02,3.195106079037e-02,3.387880549028e-02,4.656869922
3556000000.000000,after_h1,1.031174100437e+00,3.550812100335e-02,3.117410043743e-02,3.550812100335e-02,4.725093856
3557000000.000000,after_h1,1.032085390474e+00,3.922450013715e-02,3.208539047368e-02,3.922450013715e-02,5.067577027
3558000000.000000,after_h1,1.030806420669e+00,3.396937197764e-02,3.080642066942e-02,3.396937197764e-02,4.585797408
3559000000.000000,after_h1,1.030077666422e+00,3.364069428964e-02,3.007766642189e-02,3.364069428964e-02,4.512607151
3560000000.000000,after_h1,1.030977806972e+00,3.413412241282e-02,3.097780697205e-02,3.413412241282e-02,4.609514983
3561000000.000000,after_h1,1.029894113292e+00,3.789188043300e-02,2.989411329163e-02,3.789188043300e-02,4.826440316
3562000000.000000,after_h1,1.028082725294e+00,3.716581623700e-02,2.808272529446e-02,3.716581623700e-02,4.658258641
3563000000.000000,after_h1,1.029027590880e+00,3.901537692934e-02,2.902759087968e-02,3.901537692934e-02,4.862921621
3564000000.000000,after_h1,1.029060190159e+00,4.492557274446e-02,2.906019015937e-02,4.492557274446e-02,5.350515619
3565000000.000000,after_h1,1.027512531444e+00,4.162201280000e-02,2.751253144401e-02,4.162201280000e-02,4.989319930
3566000000.000000,after_h1,1.028588816966e+00,4.160503293537e-02,2.858881696648e-02,4.160503293537e-02,5.048068166
3567000000.000000,after_h1,1.026146907885e+00,3.991228983978e-02,2.614690788475e-02,3.991228983978e-02,4.771427116
3568000000.000000,after_h1,1.026442150554e+00,3.356602458866e-02,2.644215055400e-02,3.356602458866e-02,4.273014548
3569000000.000000,after_h1,1.026717562903e+00,3.725728850144e-02,2.671756290329e-02,3.725728850144e-02,4.584685064
3570000000.000000,after_h1,1.027330517132e+00,3.695450043565e-02,2.733051713184e-02,3.695450043565e-02,4.596294452
3571000000.000000,after_h1,1.024263889040e+00,3.419826338467e-02,2.426388904027e-02,3.419826338467e-02,4.193158153
3572000000.000000,after_h1,1.025914160448e+00,4.475724721700e-02,2.591416044762e-02,4.475724721700e-02,5.171803254
3573000000.000000,after_h1,1.023257440858e+00,3.953958671296e-02,2.325744085842e-02,3.953958671296e-02,4.587251326
3574000000.000000,after_h1,1.024790019642e+00,3.792006279367e-02,2.479001964197e-02,3.792006279367e-02,4.530426289
3575000000.000000,after_h1,1.024365843660e+00,4.112473413107e-02,2.436584366010e-02,4.112473413107e-02,4.780102608
3576000000.000000,after_h1,1.023106078089e+00,3.704788612046e-02,2.310607808931e-02,3.704788612046e-02,4.366276114
3577000000.000000,after_h1,1.021939136167e+00,4.384405219529e-02,2.193913616710e-02,4.384405219529e-02,4.902679480
3578000000.000000,after_h1,1.020498485008e+00,4.325505714131e-02,2.049848500849e-02,4.325505714131e-02,4.786635411
3579000000.000000,after_h1,1.021836441120e+00,4.827997985866e-02,2.183644112045e-02,4.827997985866e-02,5.298855174
3580000000.000000,after_h1,1.019557716079e+00,4.152333379687e-02,1.955771607912e-02,4.152333379687e-02,4.589870922
3581000000.000000,after_h1,1.021611576081e+00,4.600887229629e-02,2.161157608127e-02,4.600887229629e-02,5.083184583
3582000000.000000,after_h1,1.020161881787e+00,4.564855592788e-02,2.016188178657e-02,4.564855592788e-02,4.990282693
3583000000.000000,after_h1,1.020169709468e+00,4.185073942241e-02,2.016970946825e-02,4.185073942241e-02,4.645752437
3584000000.000000,after_h1,1.021244207693e+00,4.915008265007e-02,2.124420769334e-02,4.915008265007e-02,5.354481287
3585000000.000000,after_h1,1.018287122809e+00,4.698125105727e-02,1.828712280880e-02,4.698125105727e-02,5.041484713
3586000000.000000,after_h1,1.018897090742e+00,4.223035171724e-02,1.889709074177e-02,4.223035171724e-02,4.626556651
3587000000.000000,after_h1,1.019440511209e+00,4.848810402243e-02,1.944051120946e-02,4.848810402243e-02,5.224011589
3588000000.000000,after_h1,1.016113167022e+00,4.201290660367e-02,1.611316702166e-02,4.201290660367e-02,4.499687181
3589000000.000000,after_h1,1.017463913743e+00,4.550263693353e-02,1.746391374284e-02,4.550263693353e-02,4.873887823
3590000000.000000,after_h1,1.017423929509e+00,4.345826448657e-02,1.742392950948e-02,4.345826448657e-02,4.682108576
3591000000.000000,after_h1,1.015235540165e+00,4.437516796508e-02,1.523554016476e-02,4.437516796508e-02,4.691777079
3592000000.000000,after_h1,1.014922367228e+00,4.577973965180e-02,1.492236722813e-02,4.577973965180e-02,4.815040609
3593000000.000000,after_h1,1.014052169541e+00,4.495715967267e-02,1.405216954097e-02,4.495715967267e-02,4.710211964
3594000000.000000,after_h1,1.013654414870e+00,4.928312045046e-02,1.365441486959e-02,4.928312045046e-02,5.113970089
3595000000.000000,after_h1,1.013088989968e+00,5.113749967739e-02,1.308898996797e-02,5.113749967739e-02,5.278603538
3596000000.000000,after_h1,1.012967626306e+00,5.608771453007e-02,1.296762630578e-02,5.608771453007e-02,5.756727415
3597000000.000000,after_h1,1.012985279386e+00,4.833508947005e-02,1.298527938625e-02,4.833508947005e-02,5.004895958
3598000000.000000,after_h1,1.013379734649e+00,5.191024546961e-02,1.337973464869e-02,5.191024546961e-02,5.360681751
3599000000.000000,after_h1,1.014624668914e+00,5.327879289153e-02,1.462466891449e-02,5.327879289153e-02,5.524953134
3600000000.000000,after_h1,1.012865276412e+00,4.618967007845e-02,1.286527641189e-02,4.618967007845e-02,4.794789838
3601000000.000000,after_h1,1.012525264000e+00,6.105388584997e-02,1.252526399990e-02,6.105388584997e-02,6.232542993
3602000000.000000,after_h1,1.012180375481e+00,4.687650454779e-02,1.218037548089e-02,4.687650454779e-02,4.843313149
3603000000.000000,after_h1,1.011408409533e+00,5.495455772694e-02,1.140840953334e-02,5.495455772694e-02,5.612624362
3604000000.000000,after_h1,1.013014287614e+00,5.424641883056e-02,1.301428761434e-02,5.424641883056e-02,5.578571177
3605000000.000000,after_h1,1.013548620153e+00,5.089428407605e-02,1.354862015315e-02,5.089428407605e-02,5.266681365
3606000000.000000,after_h1,1.010396406322e+00,5.384828219923e-02,1.039640632211e-02,5.384828219923e-02,5.484270927
3607000000.000000,after_h1,1.010896858997e+00,5.700420969627e-02,1.089685899744e-02,5.700420969627e-02,5.803638048
3608000000.000000,after_h1,1.008518332467e+00,5.099896555439e-02,8.518332467070e-03,5.099896555439e-02,5.170547820
3609000000.000000,after_h1,1.008978187769e+00,5.237357017467e-02,8.978187768521e-03,5.237357017467e-02,5.313754519
3610000000.000000,after_h1,1.008546727817e+00,5.826432486388e-02,8.546727817197e-03,5.826432486388e-02,5.888784347
3611000000.000000,after_h1,1.010259531258e+00,5.331499904370e-02,1.025953125753e-02,5.331499904370e-02,5.429315891
3612000000.000000,after_h1,1.009474410714e+00,5.768110698712e-02,9.474410713787e-03,5.768110698712e-02,5.845403803
3613000000.000000,after_h1,1.006834585468e+00,6.549640729391e-02,6.834585467988e-03,6.549640729391e-02,6.585203814
3614000000.000000,after_h1,1.007606299070e+00,5.245035944584e-02,7.606299070461e-03,5.245035944584e-02,5.299901878
3615000000.000000,after_h1,1.010800537945e+00,5.364474628021e-02,1.080053794525e-02,5.364474628021e-02,5.472120634
3616000000.000000,after_h1,1.006552096214e+00,5.594919957581e-02,6.552096214392e-03,5.594919957581e-02,5.633154443
3617000000.000000,after_h1,1.006649076937e+00,5.628221892409e-02,6.649076936671e-03,5.628221892409e-02,5.667361283
3618000000.000000,after_h1,1.007207518150e+00,6.036450773980e-02,7.207518149553e-03,6.036450773980e-02,6.079327358
3619000000.000000,after_h1,1.009717371676e+00,5.636002543983e-02,9.717371675919e-03,5.636002543983e-02,5.719160585
